enrm-7763@es-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\enrm-7763@es-edifact.de_Valid_till_112023.zip,3,"['enrm-7763@es-edifact.de_Valid_till_112023.cer', 'quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt']",True,success,"(datetime.datetime(2020, 12, 30, 18, 23, 21, 966501),)"
entega-7763@es-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\entega-7763@es-edifact.de_Valid_till_112023.zip,3,"['entega-7763@es-edifact.de_Valid_till_112023.cer', 'quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt']",True,success,"(datetime.datetime(2020, 12, 30, 18, 23, 21, 967684),)"
mainzer-stadtwerke@cc-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\mainzer-stadtwerke@cc-edifact.de_Valid_till_112023.zip,3,"['mainzer-stadtwerke@cc-edifact.de_Valid_till_112023.cer', 'quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt']",True,success,"(datetime.datetime(2020, 12, 30, 18, 23, 21, 975707),)"
sw_hechingen_p02_305@xi.rz-kiru.de.zip,D:\projects\certificateExtractor\zipfiles\sw_hechingen_p02_305@xi.rz-kiru.de.zip,1,['sw_hechingen_p02_305@xi.rz-kiru.de.cer'],True,success,"(datetime.datetime(2020, 12, 30, 18, 23, 21, 983713),)"
vertrieb-gas_sw-stendal_de.zip,D:\projects\certificateExtractor\zipfiles\vertrieb-gas_sw-stendal_de.zip,6,"['GlobalSign GCC R3 PersonalSign 2 CA 2020.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020_B64.cer', 'GlobalSign Root CA - R3.cer', 'GlobalSign Root CA - R3_B64.cer', 'vertrieb-gas_sw-stendal_de.cer', 'vertrieb-gas_sw-stendal_de_B64.cer']",True,success,"(datetime.datetime(2020, 12, 30, 18, 23, 21, 991711),)"
vertrieb_sw-stendal_de.zip,D:\projects\certificateExtractor\zipfiles\vertrieb_sw-stendal_de.zip,6,"['GlobalSign GCC R3 PersonalSign 2 CA 2020.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020_B64.cer', 'GlobalSign Root CA - R3.cer', 'GlobalSign Root CA - R3_B64.cer', 'vertrieb_sw-stendal_de.cer', 'vertrieb_sw-stendal_de_B64.cer']",True,success,"(datetime.datetime(2020, 12, 30, 18, 23, 21, 999708),)"
vnbrmn-7763@es-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\vnbrmn-7763@es-edifact.de_Valid_till_112023.zip,3,"['quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt', 'vnbrmn-7763@es-edifact.de_Valid_till_112023.cer']",True,success,"(datetime.datetime(2020, 12, 30, 18, 23, 22, 7713),)"
Westnetz GmbH.zip,D:\projects\certificateExtractor\zipfiles\Westnetz GmbH.zip,2,"['edifact_gas@westnetz.de.cer', 'edifact_strom@westnetz.de.cer']",True,success,"(datetime.datetime(2020, 12, 30, 18, 23, 22, 15711),)"
Zertifikate und Kontaktdaten Energy2day GmbH.zip,D:\projects\certificateExtractor\zipfiles\Zertifikate und Kontaktdaten Energy2day GmbH.zip,4,"['9800160900004 Energy2day GmbH.xlsx', '9904471000006 Energy2Day GmbH.xlsx', 'energy@incore.de.cer', 'gas@incore.de.cer']",True,success,"(datetime.datetime(2020, 12, 30, 18, 23, 22, 39710),)"
samples.zip,D:\projects\certificateExtractor\input\samples.zip,15,"['samples/', 'samples/1.msg', 'samples/10.msg', 'samples/11.msg', 'samples/12.msg', 'samples/13.msg', 'samples/14.msg', 'samples/2.msg', 'samples/3.msg', 'samples/4.msg', 'samples/5.msg', 'samples/6.msg', 'samples/7.msg', 'samples/8.msg', 'samples/9.msg']",True,success,"(datetime.datetime(2020, 12, 31, 11, 34, 47, 39328),)"
zipfiles.zip,D:\projects\certificateExtractor\input\zipfiles.zip,18,"['6567fede-4d8e-4f75-b6e8-2c4c2e6692ea62238.jpg', '00350950-9056-47da-a36b-845005f927a7sapins-full.jpg', 'b4b3662b-a4da-41ad-908c-dfa2a79f2879logo.png', 'cfda0ae8-9dcf-4e59-87e9-8392658e9006sapins-full.jpg', 'd9b0232e-51ee-456b-b451-dcc93efe669dlogo.png', 'd5798272-2866-418b-97ad-e1d57f4e191dlogo.png', 'f84e84ad-44a8-4bab-a529-376b2a44089clogo.png', 'fae4c38a-15d6-45c5-9bfc-5ae720724586logo.png', '1c7e65fd-426b-4846-abbc-e65155e4d58flogo.png', '2cb99670-1f4b-4a28-b42c-bf9c2546343f4818.jpg', '2d811ecf-f0b5-43f5-a6b9-71e304029c4flogo.png', '07e0c432-8d11-4eb5-b005-4263304ba3db5287.jpg', '9f24d091-5650-411b-bd38-8ab53c2b727alogo.png', '9f28b604-0e95-481c-bd95-c258604d46e04818.jpg', '18b09352-615c-4e94-a57a-c3c27c8b90d35287.jpg', '550c396a-16c8-4ff4-99dc-1263eedb5996logo.png', '574d7136-2d03-4177-a84a-817ad785869026754.jpg', '3252ca25-8286-4298-9ca3-852e278cd492logo.png']",True,success,"(datetime.datetime(2020, 12, 31, 11, 34, 47, 103051),)"
betrieb-gas_sw-stendal_de.zip,D:\projects\certificateExtractor\zipfiles\betrieb-gas_sw-stendal_de.zip,6,"['betrieb-gas_sw-stendal_de.cer', 'betrieb-gas_sw-stendal_de_b64.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020_B64.cer', 'GlobalSign Root CA - R3.cer', 'GlobalSign Root CA - R3_B64.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 35, 52, 340886),)"
betrieb_sw-stendal_de.zip,D:\projects\certificateExtractor\zipfiles\betrieb_sw-stendal_de.zip,6,"['betrieb_sw-stendal_de.cer', 'betrieb_sw-stendal_de_B64.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020_B64.cer', 'GlobalSign Root CA - R3.cer', 'GlobalSign Root CA - R3_B64.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 35, 52, 432006),)"
countandcare-7763@es-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\countandcare-7763@es-edifact.de_Valid_till_112023.zip,3,"['countandcare-7763@es-edifact.de_Valid_till_112023.cer', 'quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt']",True,success,"(datetime.datetime(2020, 12, 31, 11, 35, 52, 476080),)"
enrm-7763@es-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\enrm-7763@es-edifact.de_Valid_till_112023.zip,3,"['enrm-7763@es-edifact.de_Valid_till_112023.cer', 'quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt']",True,success,"(datetime.datetime(2020, 12, 31, 11, 35, 52, 484059),)"
entega-7763@es-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\entega-7763@es-edifact.de_Valid_till_112023.zip,3,"['entega-7763@es-edifact.de_Valid_till_112023.cer', 'quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt']",True,success,"(datetime.datetime(2020, 12, 31, 11, 35, 52, 528038),)"
mainzer-stadtwerke@cc-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\mainzer-stadtwerke@cc-edifact.de_Valid_till_112023.zip,3,"['mainzer-stadtwerke@cc-edifact.de_Valid_till_112023.cer', 'quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt']",True,success,"(datetime.datetime(2020, 12, 31, 11, 35, 52, 536038),)"
sw_hechingen_p02_305@xi.rz-kiru.de.zip,D:\projects\certificateExtractor\zipfiles\sw_hechingen_p02_305@xi.rz-kiru.de.zip,1,['sw_hechingen_p02_305@xi.rz-kiru.de.cer'],True,success,"(datetime.datetime(2020, 12, 31, 11, 35, 52, 576036),)"
vertrieb-gas_sw-stendal_de.zip,D:\projects\certificateExtractor\zipfiles\vertrieb-gas_sw-stendal_de.zip,6,"['GlobalSign GCC R3 PersonalSign 2 CA 2020.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020_B64.cer', 'GlobalSign Root CA - R3.cer', 'GlobalSign Root CA - R3_B64.cer', 'vertrieb-gas_sw-stendal_de.cer', 'vertrieb-gas_sw-stendal_de_B64.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 35, 52, 592037),)"
vertrieb_sw-stendal_de.zip,D:\projects\certificateExtractor\zipfiles\vertrieb_sw-stendal_de.zip,6,"['GlobalSign GCC R3 PersonalSign 2 CA 2020.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020_B64.cer', 'GlobalSign Root CA - R3.cer', 'GlobalSign Root CA - R3_B64.cer', 'vertrieb_sw-stendal_de.cer', 'vertrieb_sw-stendal_de_B64.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 35, 52, 629297),)"
vnbrmn-7763@es-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\vnbrmn-7763@es-edifact.de_Valid_till_112023.zip,3,"['quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt', 'vnbrmn-7763@es-edifact.de_Valid_till_112023.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 35, 52, 685299),)"
Westnetz GmbH.zip,D:\projects\certificateExtractor\zipfiles\Westnetz GmbH.zip,2,"['edifact_gas@westnetz.de.cer', 'edifact_strom@westnetz.de.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 35, 52, 725296),)"
Zertifikate und Kontaktdaten Energy2day GmbH.zip,D:\projects\certificateExtractor\zipfiles\Zertifikate und Kontaktdaten Energy2day GmbH.zip,4,"['9800160900004 Energy2day GmbH.xlsx', '9904471000006 Energy2Day GmbH.xlsx', 'energy@incore.de.cer', 'gas@incore.de.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 35, 52, 753298),)"
samples.zip,D:\projects\certificateExtractor\input\samples.zip,15,"['samples/', 'samples/1.msg', 'samples/10.msg', 'samples/11.msg', 'samples/12.msg', 'samples/13.msg', 'samples/14.msg', 'samples/2.msg', 'samples/3.msg', 'samples/4.msg', 'samples/5.msg', 'samples/6.msg', 'samples/7.msg', 'samples/8.msg', 'samples/9.msg']",True,success,"(datetime.datetime(2020, 12, 31, 11, 40, 38, 508371),)"
zipfiles.zip,D:\projects\certificateExtractor\input\zipfiles.zip,18,"['6567fede-4d8e-4f75-b6e8-2c4c2e6692ea62238.jpg', '00350950-9056-47da-a36b-845005f927a7sapins-full.jpg', 'b4b3662b-a4da-41ad-908c-dfa2a79f2879logo.png', 'cfda0ae8-9dcf-4e59-87e9-8392658e9006sapins-full.jpg', 'd9b0232e-51ee-456b-b451-dcc93efe669dlogo.png', 'd5798272-2866-418b-97ad-e1d57f4e191dlogo.png', 'f84e84ad-44a8-4bab-a529-376b2a44089clogo.png', 'fae4c38a-15d6-45c5-9bfc-5ae720724586logo.png', '1c7e65fd-426b-4846-abbc-e65155e4d58flogo.png', '2cb99670-1f4b-4a28-b42c-bf9c2546343f4818.jpg', '2d811ecf-f0b5-43f5-a6b9-71e304029c4flogo.png', '07e0c432-8d11-4eb5-b005-4263304ba3db5287.jpg', '9f24d091-5650-411b-bd38-8ab53c2b727alogo.png', '9f28b604-0e95-481c-bd95-c258604d46e04818.jpg', '18b09352-615c-4e94-a57a-c3c27c8b90d35287.jpg', '550c396a-16c8-4ff4-99dc-1263eedb5996logo.png', '574d7136-2d03-4177-a84a-817ad785869026754.jpg', '3252ca25-8286-4298-9ca3-852e278cd492logo.png']",True,success,"(datetime.datetime(2020, 12, 31, 11, 40, 38, 580372),)"
betrieb-gas_sw-stendal_de.zip,D:\projects\certificateExtractor\zipfiles\betrieb-gas_sw-stendal_de.zip,6,"['betrieb-gas_sw-stendal_de.cer', 'betrieb-gas_sw-stendal_de_b64.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020_B64.cer', 'GlobalSign Root CA - R3.cer', 'GlobalSign Root CA - R3_B64.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 41, 45, 360079),)"
betrieb_sw-stendal_de.zip,D:\projects\certificateExtractor\zipfiles\betrieb_sw-stendal_de.zip,6,"['betrieb_sw-stendal_de.cer', 'betrieb_sw-stendal_de_B64.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020_B64.cer', 'GlobalSign Root CA - R3.cer', 'GlobalSign Root CA - R3_B64.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 41, 45, 388078),)"
countandcare-7763@es-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\countandcare-7763@es-edifact.de_Valid_till_112023.zip,3,"['countandcare-7763@es-edifact.de_Valid_till_112023.cer', 'quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt']",True,success,"(datetime.datetime(2020, 12, 31, 11, 41, 45, 436079),)"
enrm-7763@es-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\enrm-7763@es-edifact.de_Valid_till_112023.zip,3,"['enrm-7763@es-edifact.de_Valid_till_112023.cer', 'quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt']",True,success,"(datetime.datetime(2020, 12, 31, 11, 41, 45, 516109),)"
entega-7763@es-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\entega-7763@es-edifact.de_Valid_till_112023.zip,3,"['entega-7763@es-edifact.de_Valid_till_112023.cer', 'quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt']",True,success,"(datetime.datetime(2020, 12, 31, 11, 41, 45, 560086),)"
mainzer-stadtwerke@cc-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\mainzer-stadtwerke@cc-edifact.de_Valid_till_112023.zip,3,"['mainzer-stadtwerke@cc-edifact.de_Valid_till_112023.cer', 'quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt']",True,success,"(datetime.datetime(2020, 12, 31, 11, 41, 45, 572083),)"
sw_hechingen_p02_305@xi.rz-kiru.de.zip,D:\projects\certificateExtractor\zipfiles\sw_hechingen_p02_305@xi.rz-kiru.de.zip,1,['sw_hechingen_p02_305@xi.rz-kiru.de.cer'],True,success,"(datetime.datetime(2020, 12, 31, 11, 41, 45, 608090),)"
vertrieb-gas_sw-stendal_de.zip,D:\projects\certificateExtractor\zipfiles\vertrieb-gas_sw-stendal_de.zip,6,"['GlobalSign GCC R3 PersonalSign 2 CA 2020.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020_B64.cer', 'GlobalSign Root CA - R3.cer', 'GlobalSign Root CA - R3_B64.cer', 'vertrieb-gas_sw-stendal_de.cer', 'vertrieb-gas_sw-stendal_de_B64.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 41, 45, 623589),)"
vertrieb_sw-stendal_de.zip,D:\projects\certificateExtractor\zipfiles\vertrieb_sw-stendal_de.zip,6,"['GlobalSign GCC R3 PersonalSign 2 CA 2020.cer', 'GlobalSign GCC R3 PersonalSign 2 CA 2020_B64.cer', 'GlobalSign Root CA - R3.cer', 'GlobalSign Root CA - R3_B64.cer', 'vertrieb_sw-stendal_de.cer', 'vertrieb_sw-stendal_de_B64.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 41, 45, 668350),)"
vnbrmn-7763@es-edifact.de_Valid_till_112023.zip,D:\projects\certificateExtractor\zipfiles\vnbrmn-7763@es-edifact.de_Valid_till_112023.zip,3,"['quovadiseuropeadvancedcag2.crt', 'quovadisrootca1g3.crt', 'vnbrmn-7763@es-edifact.de_Valid_till_112023.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 41, 45, 716350),)"
Westnetz GmbH.zip,D:\projects\certificateExtractor\zipfiles\Westnetz GmbH.zip,2,"['edifact_gas@westnetz.de.cer', 'edifact_strom@westnetz.de.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 41, 45, 757590),)"
Zertifikate und Kontaktdaten Energy2day GmbH.zip,D:\projects\certificateExtractor\zipfiles\Zertifikate und Kontaktdaten Energy2day GmbH.zip,4,"['9800160900004 Energy2day GmbH.xlsx', '9904471000006 Energy2Day GmbH.xlsx', 'energy@incore.de.cer', 'gas@incore.de.cer']",True,success,"(datetime.datetime(2020, 12, 31, 11, 41, 45, 785594),)"
samples.zip,D:\projects\certificateExtractor\input\samples.zip,15,"['samples/', 'samples/1.msg', 'samples/10.msg', 'samples/11.msg', 'samples/12.msg', 'samples/13.msg', 'samples/14.msg', 'samples/2.msg', 'samples/3.msg', 'samples/4.msg', 'samples/5.msg', 'samples/6.msg', 'samples/7.msg', 'samples/8.msg', 'samples/9.msg']",True,success,"(datetime.datetime(2020, 12, 31, 11, 44, 8, 131466),)"
